image_id,inspection_id,frame_id,timestamp,mileage_m,mileage_text,ring_id,clock_direction,disease_id,disease_type,sim_area_px,sim_length_m,sim_width_mm,kict_image_file,kict_mask_file,kict_image_path,kict_mask_path,kict_area_px,kict_bbox_x1,kict_bbox_y1,kict_bbox_x2,kict_bbox_y2,kict_center_x,kict_center_y,kict_mask_width,kict_mask_height,has_crack,observation_source,comparability_status
I001_000068,I001,68,2026-06-01 10:01:07,12033.5,K12+033.5,1027,7点,D006,crack,1218,0.41,0.74,images/0036_105_7_90.png,masks/0036_105_7_90.png,images/0036_105_7_90.png,masks/0036_105_7_90.png,9733,328,0,424,512,375.5,255.5,96,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000068,I002,68,2026-07-01 10:01:07,12033.5,K12+033.5,1027,7点,D006,crack,1507,0.507,0.915,images/0036_106_7_270.png,masks/0036_106_7_270.png,images/0036_106_7_270.png,masks/0036_106_7_270.png,9733,216,0,312,512,263.5,255.5,96,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000165,I001,165,2026-06-01 10:02:44,12082.0,K12+082.0,1068,8点,D007,water_leakage,2681,1.3,0.0,images/0036_107_7_270.png,masks/0036_107_7_270.png,images/0036_107_7_270.png,masks/0036_107_7_270.png,9733,344,0,440,512,391.5,255.5,96,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000165,I002,165,2026-07-01 10:02:44,12082.0,K12+082.0,1068,8点,D007,water_leakage,3416,1.656,0.0,images/0036_107_7_90.png,masks/0036_107_7_90.png,images/0036_107_7_90.png,masks/0036_107_7_90.png,9733,72,0,168,512,119.5,255.5,96,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000035,I001,35,2026-06-01 10:00:34,12017.0,K12+017.0,1014,10点,D008,water_leakage,2281,1.37,0.0,images/0037_97_49_180.png,masks/0037_97_49_180.png,images/0037_97_49_180.png,masks/0037_97_49_180.png,5692,293,0,512,215,402.0,107.0,219,215,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000035,I002,35,2026-07-01 10:00:34,12017.0,K12+017.0,1014,10点,D008,water_leakage,2760,1.658,0.0,images/0037_97_49_270.png,masks/0037_97_49_270.png,images/0037_97_49_270.png,masks/0037_97_49_270.png,5692,0,0,215,219,107.0,109.0,215,219,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000028,I001,28,2026-06-01 10:00:27,12013.5,K12+013.5,1011,3点,D009,spalling,1985,0.99,0.0,images/0038_103_33.png,masks/0038_103_33.png,images/0038_103_33.png,masks/0038_103_33.png,5664,324,0,512,213,417.5,106.0,188,213,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000028,I002,28,2026-07-01 10:00:27,12013.5,K12+013.5,1011,3点,D009,spalling,2475,1.235,0.0,images/0038_103_33_180.png,masks/0038_103_33_180.png,images/0038_103_33_180.png,masks/0038_103_33_180.png,5664,0,299,188,512,93.5,405.0,188,213,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000039,I001,39,2026-06-01 10:00:38,12019.0,K12+019.0,1015,2点,D010,crack,2294,0.5,1.39,images/0038_103_34.png,masks/0038_103_34.png,images/0038_103_34.png,masks/0038_103_34.png,5751,196,0,388,213,291.5,106.0,192,213,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000039,I002,39,2026-07-01 10:00:38,12019.0,K12+019.0,1015,2点,D010,crack,2945,0.642,1.785,images/0038_103_34_180.png,masks/0038_103_34_180.png,images/0038_103_34_180.png,masks/0038_103_34_180.png,5751,124,299,316,512,219.5,405.0,192,213,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
