memory_id,memory_version,disease_id,disease_type,source_record_count,source_inspection_ids,memory_update_mode,memory_confidence,memory_limit_note,first_seen_inspection,last_seen_inspection,inspection_count,total_seen_frames,first_area_px,last_area_px,max_area_px,area_growth_px,area_growth_rate,first_risk_level,last_risk_level,risk_level_change,growth_trend,attention_level,main_clock_direction,mileage_range,representative_image_path,representative_mask_path,requires_manual_review,memory_description
MEM-PROV-I002-13-D005,v2,D005,water_leakage,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9733,9733,9733,0,0.000000,高,高,0,数据不足,待补充巡检,12点,K12+006.0,images/0036_105_7_180.png,masks/0036_105_7_180.png,true,病害D005为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-165-D007,v2,D007,water_leakage,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9733,9733,9733,0,0.000000,高,高,0,数据不足,待补充巡检,8点,K12+082.0,images/0036_107_7_90.png,masks/0036_107_7_90.png,true,病害D007为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-18-D003,v2,D003,crack,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,5点,K12+008.5,images/0036_104_35_90.png,masks/0036_104_35_90.png,true,病害D003为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-180-D004,v2,D004,spalling,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,11点,K12+089.5,images/0036_105_35_270.png,masks/0036_105_35_270.png,true,病害D004为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-28-D009,v2,D009,spalling,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,5664,5664,5664,0,0.000000,高,高,0,数据不足,待补充巡检,3点,K12+013.5,images/0038_103_33_180.png,masks/0038_103_33_180.png,true,病害D009为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-35-D008,v2,D008,water_leakage,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,5692,5692,5692,0,0.000000,高,高,0,数据不足,待补充巡检,10点,K12+017.0,images/0037_97_49_270.png,masks/0037_97_49_270.png,true,病害D008为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-39-D010,v2,D010,crack,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,5751,5751,5751,0,0.000000,高,高,0,数据不足,待补充巡检,2点,K12+019.0,images/0038_103_34_180.png,masks/0038_103_34_180.png,true,病害D010为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-40-D001,v2,D001,spalling,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,3点,K12+019.5,images/0036_103_35_180.png,masks/0036_103_35_180.png,true,病害D001为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-41-D002,v2,D002,spalling,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,4点,K12+020.0,images/0036_104_35.png,masks/0036_104_35.png,true,病害D002为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I002-68-D006,v2,D006,crack,1,I002,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I002,I002,1,1,9733,9733,9733,0,0.000000,高,高,0,数据不足,待补充巡检,7点,K12+033.5,images/0036_106_7_270.png,masks/0036_106_7_270.png,true,病害D006为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-13-D005,v3,D005,water_leakage,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,9733,9733,9733,0,0.000000,高,高,0,数据不足,待补充巡检,12点,K12+006.0,images/0036_105_7_270.png,masks/0036_105_7_270.png,true,病害D005为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-165-D007,v3,D007,water_leakage,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,5692,5692,5692,0,0.000000,高,高,0,数据不足,待补充巡检,8点,K12+082.0,images/0037_97_49.png,masks/0037_97_49.png,true,病害D007为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-18-D003,v3,D003,crack,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,5点,K12+008.5,images/0036_105_35.png,masks/0036_105_35.png,true,病害D003为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-180-D004,v3,D004,spalling,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,11点,K12+089.5,images/0036_105_35_90.png,masks/0036_105_35_90.png,true,病害D004为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-28-D009,v3,D009,spalling,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,5664,5664,5664,0,0.000000,高,高,0,数据不足,待补充巡检,3点,K12+013.5,images/0038_103_33_90.png,masks/0038_103_33_90.png,true,病害D009为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-35-D008,v3,D008,water_leakage,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,5692,5692,5692,0,0.000000,高,高,0,数据不足,待补充巡检,10点,K12+017.0,images/0037_97_49_90.png,masks/0037_97_49_90.png,true,病害D008为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-39-D010,v3,D010,crack,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,5751,5751,5751,0,0.000000,高,高,0,数据不足,待补充巡检,2点,K12+019.0,images/0038_103_35_180.png,masks/0038_103_35_180.png,true,病害D010为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-40-D001,v3,D001,spalling,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,3点,K12+019.5,images/0036_103_35_270.png,masks/0036_103_35_270.png,true,病害D001为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-41-D002,v3,D002,spalling,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,9726,9726,9726,0,0.000000,高,高,0,数据不足,待补充巡检,4点,K12+020.0,images/0036_104_35_180.png,masks/0036_104_35_180.png,true,病害D002为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
MEM-PROV-I003-68-D006,v3,D006,crack,1,I003,incremental_update,very_low,Provisional memory from unmatched or uncertain association; requires manual review,I003,I003,1,1,9733,9733,9733,0,0.000000,高,高,0,数据不足,待补充巡检,7点,K12+033.5,images/0036_106_7_90.png,masks/0036_106_7_90.png,true,病害D006为当前巡检新增候选，需要人工复核后确认是否并入既有记忆。
