inspection_id,disease_id,disease_type,frame_count,start_frame,end_frame,start_time,end_time,start_mileage_m,end_mileage_m,start_mileage_text,end_mileage_text,start_ring,end_ring,main_clock_direction,max_area_px,mean_area_px,total_area_px,max_bbox_x1,max_bbox_y1,max_bbox_x2,max_bbox_y2,representative_image_path,representative_mask_path,risk_level,engineering_description
I002,D005,water_leakage,1,13,13,2026-07-01 10:00:12,2026-07-01 10:00:12,12006.0,12006.0,K12+006.0,K12+006.0,1005,1005,12点,9733,9733.0,9733,0,88,512,184,images/0036_105_7_180.png,masks/0036_105_7_180.png,高,巡检 I002 中，机器人于 2026-07-01 10:00:12 至 2026-07-01 10:00:12 在 K12+006.0，第 1005 环，12点方向发现渗水 D005。该病害单帧可见，最大裂缝面积约为 9733 px²，平均面积约为 9733.0 px²，风险等级为高，建议进行人工复核。
I002,D006,crack,1,68,68,2026-07-01 10:01:07,2026-07-01 10:01:07,12033.5,12033.5,K12+033.5,K12+033.5,1027,1027,7点,9733,9733.0,9733,216,0,312,512,images/0036_106_7_270.png,masks/0036_106_7_270.png,高,巡检 I002 中，机器人于 2026-07-01 10:01:07 至 2026-07-01 10:01:07 在 K12+033.5，第 1027 环，7点方向发现裂缝 D006。该病害单帧可见，最大裂缝面积约为 9733 px²，平均面积约为 9733.0 px²，风险等级为高，建议进行人工复核。
I002,D007,water_leakage,1,165,165,2026-07-01 10:02:44,2026-07-01 10:02:44,12082.0,12082.0,K12+082.0,K12+082.0,1068,1068,8点,9733,9733.0,9733,72,0,168,512,images/0036_107_7_90.png,masks/0036_107_7_90.png,高,巡检 I002 中，机器人于 2026-07-01 10:02:44 至 2026-07-01 10:02:44 在 K12+082.0，第 1068 环，8点方向发现渗水 D007。该病害单帧可见，最大裂缝面积约为 9733 px²，平均面积约为 9733.0 px²，风险等级为高，建议进行人工复核。
I002,D008,water_leakage,1,35,35,2026-07-01 10:00:34,2026-07-01 10:00:34,12017.0,12017.0,K12+017.0,K12+017.0,1014,1014,10点,5692,5692.0,5692,0,0,215,219,images/0037_97_49_270.png,masks/0037_97_49_270.png,高,巡检 I002 中，机器人于 2026-07-01 10:00:34 至 2026-07-01 10:00:34 在 K12+017.0，第 1014 环，10点方向发现渗水 D008。该病害单帧可见，最大裂缝面积约为 5692 px²，平均面积约为 5692.0 px²，风险等级为高，建议进行人工复核。
I002,D009,spalling,1,28,28,2026-07-01 10:00:27,2026-07-01 10:00:27,12013.5,12013.5,K12+013.5,K12+013.5,1011,1011,3点,5664,5664.0,5664,0,299,188,512,images/0038_103_33_180.png,masks/0038_103_33_180.png,高,巡检 I002 中，机器人于 2026-07-01 10:00:27 至 2026-07-01 10:00:27 在 K12+013.5，第 1011 环，3点方向发现剥落 D009。该病害单帧可见，最大裂缝面积约为 5664 px²，平均面积约为 5664.0 px²，风险等级为高，建议进行人工复核。
I002,D010,crack,1,39,39,2026-07-01 10:00:38,2026-07-01 10:00:38,12019.0,12019.0,K12+019.0,K12+019.0,1015,1015,2点,5751,5751.0,5751,124,299,316,512,images/0038_103_34_180.png,masks/0038_103_34_180.png,高,巡检 I002 中，机器人于 2026-07-01 10:00:38 至 2026-07-01 10:00:38 在 K12+019.0，第 1015 环，2点方向发现裂缝 D010。该病害单帧可见，最大裂缝面积约为 5751 px²，平均面积约为 5751.0 px²，风险等级为高，建议进行人工复核。
I003,D001,spalling,1,40,40,2026-08-01 10:00:39,2026-08-01 10:00:39,12019.5,12019.5,K12+019.5,K12+019.5,1016,1016,3点,9726,9726.0,9726,88,0,178,512,images/0036_103_35_270.png,masks/0036_103_35_270.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:39 至 2026-08-01 10:00:39 在 K12+019.5，第 1016 环，3点方向发现剥落 D001。该病害单帧可见，最大裂缝面积约为 9726 px²，平均面积约为 9726.0 px²，风险等级为高，建议进行人工复核。
I003,D002,spalling,1,41,41,2026-08-01 10:00:40,2026-08-01 10:00:40,12020.0,12020.0,K12+020.0,K12+020.0,1016,1016,4点,9726,9726.0,9726,0,216,512,306,images/0036_104_35_180.png,masks/0036_104_35_180.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:40 至 2026-08-01 10:00:40 在 K12+020.0，第 1016 环，4点方向发现剥落 D002。该病害单帧可见，最大裂缝面积约为 9726 px²，平均面积约为 9726.0 px²，风险等级为高，建议进行人工复核。
I003,D003,crack,1,18,18,2026-08-01 10:00:17,2026-08-01 10:00:17,12008.5,12008.5,K12+008.5,K12+008.5,1007,1007,5点,9726,9726.0,9726,0,78,512,168,images/0036_105_35.png,masks/0036_105_35.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:17 至 2026-08-01 10:00:17 在 K12+008.5，第 1007 环，5点方向发现裂缝 D003。该病害单帧可见，最大裂缝面积约为 9726 px²，平均面积约为 9726.0 px²，风险等级为高，建议进行人工复核。
I003,D004,spalling,1,180,180,2026-08-01 10:02:59,2026-08-01 10:02:59,12089.5,12089.5,K12+089.5,K12+089.5,1074,1074,11点,9726,9726.0,9726,78,0,168,512,images/0036_105_35_90.png,masks/0036_105_35_90.png,高,巡检 I003 中，机器人于 2026-08-01 10:02:59 至 2026-08-01 10:02:59 在 K12+089.5，第 1074 环，11点方向发现剥落 D004。该病害单帧可见，最大裂缝面积约为 9726 px²，平均面积约为 9726.0 px²，风险等级为高，建议进行人工复核。
I003,D005,water_leakage,1,13,13,2026-08-01 10:00:12,2026-08-01 10:00:12,12006.0,12006.0,K12+006.0,K12+006.0,1005,1005,12点,9733,9733.0,9733,88,0,184,512,images/0036_105_7_270.png,masks/0036_105_7_270.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:12 至 2026-08-01 10:00:12 在 K12+006.0，第 1005 环，12点方向发现渗水 D005。该病害单帧可见，最大裂缝面积约为 9733 px²，平均面积约为 9733.0 px²，风险等级为高，建议进行人工复核。
I003,D006,crack,1,68,68,2026-08-01 10:01:07,2026-08-01 10:01:07,12033.5,12033.5,K12+033.5,K12+033.5,1027,1027,7点,9733,9733.0,9733,200,0,296,512,images/0036_106_7_90.png,masks/0036_106_7_90.png,高,巡检 I003 中，机器人于 2026-08-01 10:01:07 至 2026-08-01 10:01:07 在 K12+033.5，第 1027 环，7点方向发现裂缝 D006。该病害单帧可见，最大裂缝面积约为 9733 px²，平均面积约为 9733.0 px²，风险等级为高，建议进行人工复核。
I003,D007,water_leakage,1,165,165,2026-08-01 10:02:44,2026-08-01 10:02:44,12082.0,12082.0,K12+082.0,K12+082.0,1068,1068,8点,5692,5692.0,5692,0,297,219,512,images/0037_97_49.png,masks/0037_97_49.png,高,巡检 I003 中，机器人于 2026-08-01 10:02:44 至 2026-08-01 10:02:44 在 K12+082.0，第 1068 环，8点方向发现渗水 D007。该病害单帧可见，最大裂缝面积约为 5692 px²，平均面积约为 5692.0 px²，风险等级为高，建议进行人工复核。
I003,D008,water_leakage,1,35,35,2026-08-01 10:00:34,2026-08-01 10:00:34,12017.0,12017.0,K12+017.0,K12+017.0,1014,1014,10点,5692,5692.0,5692,297,293,512,512,images/0037_97_49_90.png,masks/0037_97_49_90.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:34 至 2026-08-01 10:00:34 在 K12+017.0，第 1014 环，10点方向发现渗水 D008。该病害单帧可见，最大裂缝面积约为 5692 px²，平均面积约为 5692.0 px²，风险等级为高，建议进行人工复核。
I003,D009,spalling,1,28,28,2026-08-01 10:00:27,2026-08-01 10:00:27,12013.5,12013.5,K12+013.5,K12+013.5,1011,1011,3点,5664,5664.0,5664,0,0,213,188,images/0038_103_33_90.png,masks/0038_103_33_90.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:27 至 2026-08-01 10:00:27 在 K12+013.5，第 1011 环，3点方向发现剥落 D009。该病害单帧可见，最大裂缝面积约为 5664 px²，平均面积约为 5664.0 px²，风险等级为高，建议进行人工复核。
I003,D010,crack,1,39,39,2026-08-01 10:00:38,2026-08-01 10:00:38,12019.0,12019.0,K12+019.0,K12+019.0,1015,1015,2点,5751,5751.0,5751,252,299,444,512,images/0038_103_35_180.png,masks/0038_103_35_180.png,高,巡检 I003 中，机器人于 2026-08-01 10:00:38 至 2026-08-01 10:00:38 在 K12+019.0，第 1015 环，2点方向发现裂缝 D010。该病害单帧可见，最大裂缝面积约为 5751 px²，平均面积约为 5751.0 px²，风险等级为高，建议进行人工复核。
