image_id,inspection_id,frame_id,timestamp,mileage_m,mileage_text,ring_id,clock_direction,image_path
I001_000031,I001,31,2026-06-01 10:00:30,12015.0,K12+015.0,1012,6点,data/images/I001_000031.jpg
I001_000032,I001,32,2026-06-01 10:00:31,12015.5,K12+015.5,1012,7点,data/images/I001_000032.jpg
I001_000033,I001,33,2026-06-01 10:00:32,12016.0,K12+016.0,1013,8点,data/images/I001_000033.jpg
I001_000034,I001,34,2026-06-01 10:00:33,12016.5,K12+016.5,1013,9点,data/images/I001_000034.jpg
I001_000035,I001,35,2026-06-01 10:00:34,12017.0,K12+017.0,1014,10点,data/images/I001_000035.jpg
I001_000036,I001,36,2026-06-01 10:00:35,12017.5,K12+017.5,1014,11点,data/images/I001_000036.jpg
I001_000037,I001,37,2026-06-01 10:00:36,12018.0,K12+018.0,1015,12点,data/images/I001_000037.jpg
I001_000038,I001,38,2026-06-01 10:00:37,12018.5,K12+018.5,1015,1点,data/images/I001_000038.jpg
I001_000039,I001,39,2026-06-01 10:00:38,12019.0,K12+019.0,1015,2点,data/images/I001_000039.jpg
I001_000040,I001,40,2026-06-01 10:00:39,12019.5,K12+019.5,1016,3点,data/images/I001_000040.jpg
I001_000041,I001,41,2026-06-01 10:00:40,12020.0,K12+020.0,1016,4点,data/images/I001_000041.jpg
I001_000042,I001,42,2026-06-01 10:00:41,12020.5,K12+020.5,1017,5点,data/images/I001_000042.jpg
I001_000043,I001,43,2026-06-01 10:00:42,12021.0,K12+021.0,1017,6点,data/images/I001_000043.jpg
I001_000044,I001,44,2026-06-01 10:00:43,12021.5,K12+021.5,1017,7点,data/images/I001_000044.jpg
I001_000045,I001,45,2026-06-01 10:00:44,12022.0,K12+022.0,1018,8点,data/images/I001_000045.jpg
I001_000046,I001,46,2026-06-01 10:00:45,12022.5,K12+022.5,1018,9点,data/images/I001_000046.jpg
I001_000047,I001,47,2026-06-01 10:00:46,12023.0,K12+023.0,1019,10点,data/images/I001_000047.jpg
I001_000048,I001,48,2026-06-01 10:00:47,12023.5,K12+023.5,1019,11点,data/images/I001_000048.jpg
I001_000049,I001,49,2026-06-01 10:00:48,12024.0,K12+024.0,1020,12点,data/images/I001_000049.jpg
I001_000050,I001,50,2026-06-01 10:00:49,12024.5,K12+024.5,1020,1点,data/images/I001_000050.jpg
I001_000051,I001,51,2026-06-01 10:00:50,12025.0,K12+025.0,1020,2点,data/images/I001_000051.jpg
I001_000052,I001,52,2026-06-01 10:00:51,12025.5,K12+025.5,1021,3点,data/images/I001_000052.jpg
I001_000053,I001,53,2026-06-01 10:00:52,12026.0,K12+026.0,1021,4点,data/images/I001_000053.jpg
I001_000054,I001,54,2026-06-01 10:00:53,12026.5,K12+026.5,1022,5点,data/images/I001_000054.jpg
I001_000055,I001,55,2026-06-01 10:00:54,12027.0,K12+027.0,1022,6点,data/images/I001_000055.jpg
I001_000056,I001,56,2026-06-01 10:00:55,12027.5,K12+027.5,1022,7点,data/images/I001_000056.jpg
I001_000057,I001,57,2026-06-01 10:00:56,12028.0,K12+028.0,1023,8点,data/images/I001_000057.jpg
I001_000058,I001,58,2026-06-01 10:00:57,12028.5,K12+028.5,1023,9点,data/images/I001_000058.jpg
I001_000059,I001,59,2026-06-01 10:00:58,12029.0,K12+029.0,1024,10点,data/images/I001_000059.jpg
I001_000060,I001,60,2026-06-01 10:00:59,12029.5,K12+029.5,1024,11点,data/images/I001_000060.jpg
I001_000061,I001,61,2026-06-01 10:01:00,12030.0,K12+030.0,1025,12点,data/images/I001_000061.jpg
I001_000062,I001,62,2026-06-01 10:01:01,12030.5,K12+030.5,1025,1点,data/images/I001_000062.jpg
I001_000063,I001,63,2026-06-01 10:01:02,12031.0,K12+031.0,1025,2点,data/images/I001_000063.jpg
I001_000064,I001,64,2026-06-01 10:01:03,12031.5,K12+031.5,1026,3点,data/images/I001_000064.jpg
I001_000065,I001,65,2026-06-01 10:01:04,12032.0,K12+032.0,1026,4点,data/images/I001_000065.jpg
I001_000066,I001,66,2026-06-01 10:01:05,12032.5,K12+032.5,1027,5点,data/images/I001_000066.jpg
I001_000067,I001,67,2026-06-01 10:01:06,12033.0,K12+033.0,1027,6点,data/images/I001_000067.jpg
I001_000068,I001,68,2026-06-01 10:01:07,12033.5,K12+033.5,1027,7点,data/images/I001_000068.jpg
I001_000069,I001,69,2026-06-01 10:01:08,12034.0,K12+034.0,1028,8点,data/images/I001_000069.jpg
I001_000070,I001,70,2026-06-01 10:01:09,12034.5,K12+034.5,1028,9点,data/images/I001_000070.jpg
I001_000071,I001,71,2026-06-01 10:01:10,12035.0,K12+035.0,1029,10点,data/images/I001_000071.jpg
I001_000072,I001,72,2026-06-01 10:01:11,12035.5,K12+035.5,1029,11点,data/images/I001_000072.jpg
I001_000073,I001,73,2026-06-01 10:01:12,12036.0,K12+036.0,1030,12点,data/images/I001_000073.jpg
I001_000074,I001,74,2026-06-01 10:01:13,12036.5,K12+036.5,1030,1点,data/images/I001_000074.jpg
I001_000075,I001,75,2026-06-01 10:01:14,12037.0,K12+037.0,1030,2点,data/images/I001_000075.jpg
I001_000076,I001,76,2026-06-01 10:01:15,12037.5,K12+037.5,1031,3点,data/images/I001_000076.jpg
I001_000077,I001,77,2026-06-01 10:01:16,12038.0,K12+038.0,1031,4点,data/images/I001_000077.jpg
I001_000078,I001,78,2026-06-01 10:01:17,12038.5,K12+038.5,1032,5点,data/images/I001_000078.jpg
I001_000079,I001,79,2026-06-01 10:01:18,12039.0,K12+039.0,1032,6点,data/images/I001_000079.jpg
I001_000080,I001,80,2026-06-01 10:01:19,12039.5,K12+039.5,1032,7点,data/images/I001_000080.jpg
I001_000081,I001,81,2026-06-01 10:01:20,12040.0,K12+040.0,1033,8点,data/images/I001_000081.jpg
I001_000082,I001,82,2026-06-01 10:01:21,12040.5,K12+040.5,1033,9点,data/images/I001_000082.jpg
I001_000083,I001,83,2026-06-01 10:01:22,12041.0,K12+041.0,1034,10点,data/images/I001_000083.jpg
I001_000084,I001,84,2026-06-01 10:01:23,12041.5,K12+041.5,1034,11点,data/images/I001_000084.jpg
I001_000085,I001,85,2026-06-01 10:01:24,12042.0,K12+042.0,1035,12点,data/images/I001_000085.jpg
I001_000086,I001,86,2026-06-01 10:01:25,12042.5,K12+042.5,1035,1点,data/images/I001_000086.jpg
I001_000087,I001,87,2026-06-01 10:01:26,12043.0,K12+043.0,1035,2点,data/images/I001_000087.jpg
I001_000088,I001,88,2026-06-01 10:01:27,12043.5,K12+043.5,1036,3点,data/images/I001_000088.jpg
I001_000089,I001,89,2026-06-01 10:01:28,12044.0,K12+044.0,1036,4点,data/images/I001_000089.jpg
I001_000090,I001,90,2026-06-01 10:01:29,12044.5,K12+044.5,1037,5点,data/images/I001_000090.jpg
I001_000091,I001,91,2026-06-01 10:01:30,12045.0,K12+045.0,1037,6点,data/images/I001_000091.jpg
I001_000092,I001,92,2026-06-01 10:01:31,12045.5,K12+045.5,1037,7点,data/images/I001_000092.jpg
I001_000093,I001,93,2026-06-01 10:01:32,12046.0,K12+046.0,1038,8点,data/images/I001_000093.jpg
I001_000094,I001,94,2026-06-01 10:01:33,12046.5,K12+046.5,1038,9点,data/images/I001_000094.jpg
I001_000095,I001,95,2026-06-01 10:01:34,12047.0,K12+047.0,1039,10点,data/images/I001_000095.jpg
I001_000096,I001,96,2026-06-01 10:01:35,12047.5,K12+047.5,1039,11点,data/images/I001_000096.jpg
I001_000097,I001,97,2026-06-01 10:01:36,12048.0,K12+048.0,1040,12点,data/images/I001_000097.jpg
I001_000098,I001,98,2026-06-01 10:01:37,12048.5,K12+048.5,1040,1点,data/images/I001_000098.jpg
I001_000099,I001,99,2026-06-01 10:01:38,12049.0,K12+049.0,1040,2点,data/images/I001_000099.jpg
I001_000100,I001,100,2026-06-01 10:01:39,12049.5,K12+049.5,1041,3点,data/images/I001_000100.jpg
I001_000101,I001,101,2026-06-01 10:01:40,12050.0,K12+050.0,1041,4点,data/images/I001_000101.jpg
I001_000102,I001,102,2026-06-01 10:01:41,12050.5,K12+050.5,1042,5点,data/images/I001_000102.jpg
I001_000103,I001,103,2026-06-01 10:01:42,12051.0,K12+051.0,1042,6点,data/images/I001_000103.jpg
I001_000104,I001,104,2026-06-01 10:01:43,12051.5,K12+051.5,1042,7点,data/images/I001_000104.jpg
I001_000105,I001,105,2026-06-01 10:01:44,12052.0,K12+052.0,1043,8点,data/images/I001_000105.jpg
I001_000106,I001,106,2026-06-01 10:01:45,12052.5,K12+052.5,1043,9点,data/images/I001_000106.jpg
I001_000107,I001,107,2026-06-01 10:01:46,12053.0,K12+053.0,1044,10点,data/images/I001_000107.jpg
I001_000108,I001,108,2026-06-01 10:01:47,12053.5,K12+053.5,1044,11点,data/images/I001_000108.jpg
I001_000109,I001,109,2026-06-01 10:01:48,12054.0,K12+054.0,1045,12点,data/images/I001_000109.jpg
I001_000110,I001,110,2026-06-01 10:01:49,12054.5,K12+054.5,1045,1点,data/images/I001_000110.jpg
I001_000111,I001,111,2026-06-01 10:01:50,12055.0,K12+055.0,1045,2点,data/images/I001_000111.jpg
I001_000112,I001,112,2026-06-01 10:01:51,12055.5,K12+055.5,1046,3点,data/images/I001_000112.jpg
I001_000113,I001,113,2026-06-01 10:01:52,12056.0,K12+056.0,1046,4点,data/images/I001_000113.jpg
I001_000114,I001,114,2026-06-01 10:01:53,12056.5,K12+056.5,1047,5点,data/images/I001_000114.jpg
I001_000115,I001,115,2026-06-01 10:01:54,12057.0,K12+057.0,1047,6点,data/images/I001_000115.jpg
I001_000116,I001,116,2026-06-01 10:01:55,12057.5,K12+057.5,1047,7点,data/images/I001_000116.jpg
I001_000117,I001,117,2026-06-01 10:01:56,12058.0,K12+058.0,1048,8点,data/images/I001_000117.jpg
I001_000118,I001,118,2026-06-01 10:01:57,12058.5,K12+058.5,1048,9点,data/images/I001_000118.jpg
I001_000119,I001,119,2026-06-01 10:01:58,12059.0,K12+059.0,1049,10点,data/images/I001_000119.jpg
I001_000120,I001,120,2026-06-01 10:01:59,12059.5,K12+059.5,1049,11点,data/images/I001_000120.jpg
I001_000121,I001,121,2026-06-01 10:02:00,12060.0,K12+060.0,1050,12点,data/images/I001_000121.jpg
I001_000122,I001,122,2026-06-01 10:02:01,12060.5,K12+060.5,1050,1点,data/images/I001_000122.jpg
I001_000123,I001,123,2026-06-01 10:02:02,12061.0,K12+061.0,1050,2点,data/images/I001_000123.jpg
I001_000124,I001,124,2026-06-01 10:02:03,12061.5,K12+061.5,1051,3点,data/images/I001_000124.jpg
I001_000125,I001,125,2026-06-01 10:02:04,12062.0,K12+062.0,1051,4点,data/images/I001_000125.jpg
I001_000126,I001,126,2026-06-01 10:02:05,12062.5,K12+062.5,1052,5点,data/images/I001_000126.jpg
I001_000127,I001,127,2026-06-01 10:02:06,12063.0,K12+063.0,1052,6点,data/images/I001_000127.jpg
I001_000128,I001,128,2026-06-01 10:02:07,12063.5,K12+063.5,1052,7点,data/images/I001_000128.jpg
I001_000129,I001,129,2026-06-01 10:02:08,12064.0,K12+064.0,1053,8点,data/images/I001_000129.jpg
I001_000130,I001,130,2026-06-01 10:02:09,12064.5,K12+064.5,1053,9点,data/images/I001_000130.jpg
I001_000131,I001,131,2026-06-01 10:02:10,12065.0,K12+065.0,1054,10点,data/images/I001_000131.jpg
I001_000132,I001,132,2026-06-01 10:02:11,12065.5,K12+065.5,1054,11点,data/images/I001_000132.jpg
I001_000133,I001,133,2026-06-01 10:02:12,12066.0,K12+066.0,1055,12点,data/images/I001_000133.jpg
I001_000134,I001,134,2026-06-01 10:02:13,12066.5,K12+066.5,1055,1点,data/images/I001_000134.jpg
I001_000135,I001,135,2026-06-01 10:02:14,12067.0,K12+067.0,1055,2点,data/images/I001_000135.jpg
I001_000136,I001,136,2026-06-01 10:02:15,12067.5,K12+067.5,1056,3点,data/images/I001_000136.jpg
I001_000137,I001,137,2026-06-01 10:02:16,12068.0,K12+068.0,1056,4点,data/images/I001_000137.jpg
I001_000138,I001,138,2026-06-01 10:02:17,12068.5,K12+068.5,1057,5点,data/images/I001_000138.jpg
I001_000139,I001,139,2026-06-01 10:02:18,12069.0,K12+069.0,1057,6点,data/images/I001_000139.jpg
I001_000140,I001,140,2026-06-01 10:02:19,12069.5,K12+069.5,1057,7点,data/images/I001_000140.jpg
I001_000141,I001,141,2026-06-01 10:02:20,12070.0,K12+070.0,1058,8点,data/images/I001_000141.jpg
I001_000142,I001,142,2026-06-01 10:02:21,12070.5,K12+070.5,1058,9点,data/images/I001_000142.jpg
I001_000143,I001,143,2026-06-01 10:02:22,12071.0,K12+071.0,1059,10点,data/images/I001_000143.jpg
I001_000144,I001,144,2026-06-01 10:02:23,12071.5,K12+071.5,1059,11点,data/images/I001_000144.jpg
I001_000145,I001,145,2026-06-01 10:02:24,12072.0,K12+072.0,1060,12点,data/images/I001_000145.jpg
I001_000146,I001,146,2026-06-01 10:02:25,12072.5,K12+072.5,1060,1点,data/images/I001_000146.jpg
I001_000147,I001,147,2026-06-01 10:02:26,12073.0,K12+073.0,1060,2点,data/images/I001_000147.jpg
I001_000148,I001,148,2026-06-01 10:02:27,12073.5,K12+073.5,1061,3点,data/images/I001_000148.jpg
I001_000149,I001,149,2026-06-01 10:02:28,12074.0,K12+074.0,1061,4点,data/images/I001_000149.jpg
I001_000150,I001,150,2026-06-01 10:02:29,12074.5,K12+074.5,1062,5点,data/images/I001_000150.jpg
I001_000151,I001,151,2026-06-01 10:02:30,12075.0,K12+075.0,1062,6点,data/images/I001_000151.jpg
I001_000152,I001,152,2026-06-01 10:02:31,12075.5,K12+075.5,1062,7点,data/images/I001_000152.jpg
I001_000153,I001,153,2026-06-01 10:02:32,12076.0,K12+076.0,1063,8点,data/images/I001_000153.jpg
I001_000154,I001,154,2026-06-01 10:02:33,12076.5,K12+076.5,1063,9点,data/images/I001_000154.jpg
I001_000155,I001,155,2026-06-01 10:02:34,12077.0,K12+077.0,1064,10点,data/images/I001_000155.jpg
I001_000156,I001,156,2026-06-01 10:02:35,12077.5,K12+077.5,1064,11点,data/images/I001_000156.jpg
I001_000157,I001,157,2026-06-01 10:02:36,12078.0,K12+078.0,1065,12点,data/images/I001_000157.jpg
I001_000158,I001,158,2026-06-01 10:02:37,12078.5,K12+078.5,1065,1点,data/images/I001_000158.jpg
I001_000159,I001,159,2026-06-01 10:02:38,12079.0,K12+079.0,1065,2点,data/images/I001_000159.jpg
I001_000160,I001,160,2026-06-01 10:02:39,12079.5,K12+079.5,1066,3点,data/images/I001_000160.jpg
I001_000161,I001,161,2026-06-01 10:02:40,12080.0,K12+080.0,1066,4点,data/images/I001_000161.jpg
I001_000162,I001,162,2026-06-01 10:02:41,12080.5,K12+080.5,1067,5点,data/images/I001_000162.jpg
I001_000163,I001,163,2026-06-01 10:02:42,12081.0,K12+081.0,1067,6点,data/images/I001_000163.jpg
I001_000164,I001,164,2026-06-01 10:02:43,12081.5,K12+081.5,1067,7点,data/images/I001_000164.jpg
I001_000165,I001,165,2026-06-01 10:02:44,12082.0,K12+082.0,1068,8点,data/images/I001_000165.jpg
I001_000166,I001,166,2026-06-01 10:02:45,12082.5,K12+082.5,1068,9点,data/images/I001_000166.jpg
I001_000167,I001,167,2026-06-01 10:02:46,12083.0,K12+083.0,1069,10点,data/images/I001_000167.jpg
I001_000168,I001,168,2026-06-01 10:02:47,12083.5,K12+083.5,1069,11点,data/images/I001_000168.jpg
I001_000169,I001,169,2026-06-01 10:02:48,12084.0,K12+084.0,1070,12点,data/images/I001_000169.jpg
I001_000170,I001,170,2026-06-01 10:02:49,12084.5,K12+084.5,1070,1点,data/images/I001_000170.jpg
I001_000171,I001,171,2026-06-01 10:02:50,12085.0,K12+085.0,1070,2点,data/images/I001_000171.jpg
I001_000172,I001,172,2026-06-01 10:02:51,12085.5,K12+085.5,1071,3点,data/images/I001_000172.jpg
I001_000173,I001,173,2026-06-01 10:02:52,12086.0,K12+086.0,1071,4点,data/images/I001_000173.jpg
I001_000174,I001,174,2026-06-01 10:02:53,12086.5,K12+086.5,1072,5点,data/images/I001_000174.jpg
I001_000175,I001,175,2026-06-01 10:02:54,12087.0,K12+087.0,1072,6点,data/images/I001_000175.jpg
I001_000176,I001,176,2026-06-01 10:02:55,12087.5,K12+087.5,1072,7点,data/images/I001_000176.jpg
I001_000177,I001,177,2026-06-01 10:02:56,12088.0,K12+088.0,1073,8点,data/images/I001_000177.jpg
I001_000178,I001,178,2026-06-01 10:02:57,12088.5,K12+088.5,1073,9点,data/images/I001_000178.jpg
I001_000179,I001,179,2026-06-01 10:02:58,12089.0,K12+089.0,1074,10点,data/images/I001_000179.jpg
I001_000180,I001,180,2026-06-01 10:02:59,12089.5,K12+089.5,1074,11点,data/images/I001_000180.jpg
I001_000181,I001,181,2026-06-01 10:03:00,12090.0,K12+090.0,1075,12点,data/images/I001_000181.jpg
I001_000182,I001,182,2026-06-01 10:03:01,12090.5,K12+090.5,1075,1点,data/images/I001_000182.jpg
I001_000183,I001,183,2026-06-01 10:03:02,12091.0,K12+091.0,1075,2点,data/images/I001_000183.jpg
I001_000184,I001,184,2026-06-01 10:03:03,12091.5,K12+091.5,1076,3点,data/images/I001_000184.jpg
I001_000185,I001,185,2026-06-01 10:03:04,12092.0,K12+092.0,1076,4点,data/images/I001_000185.jpg
I001_000186,I001,186,2026-06-01 10:03:05,12092.5,K12+092.5,1077,5点,data/images/I001_000186.jpg
I001_000187,I001,187,2026-06-01 10:03:06,12093.0,K12+093.0,1077,6点,data/images/I001_000187.jpg
I001_000188,I001,188,2026-06-01 10:03:07,12093.5,K12+093.5,1077,7点,data/images/I001_000188.jpg
I001_000189,I001,189,2026-06-01 10:03:08,12094.0,K12+094.0,1078,8点,data/images/I001_000189.jpg
I001_000190,I001,190,2026-06-01 10:03:09,12094.5,K12+094.5,1078,9点,data/images/I001_000190.jpg
I001_000191,I001,191,2026-06-01 10:03:10,12095.0,K12+095.0,1079,10点,data/images/I001_000191.jpg
I001_000192,I001,192,2026-06-01 10:03:11,12095.5,K12+095.5,1079,11点,data/images/I001_000192.jpg
I001_000193,I001,193,2026-06-01 10:03:12,12096.0,K12+096.0,1080,12点,data/images/I001_000193.jpg
I001_000194,I001,194,2026-06-01 10:03:13,12096.5,K12+096.5,1080,1点,data/images/I001_000194.jpg
I001_000195,I001,195,2026-06-01 10:03:14,12097.0,K12+097.0,1080,2点,data/images/I001_000195.jpg
I001_000196,I001,196,2026-06-01 10:03:15,12097.5,K12+097.5,1081,3点,data/images/I001_000196.jpg
I001_000197,I001,197,2026-06-01 10:03:16,12098.0,K12+098.0,1081,4点,data/images/I001_000197.jpg
I001_000198,I001,198,2026-06-01 10:03:17,12098.5,K12+098.5,1082,5点,data/images/I001_000198.jpg
I001_000199,I001,199,2026-06-01 10:03:18,12099.0,K12+099.0,1082,6点,data/images/I001_000199.jpg
I001_000200,I001,200,2026-06-01 10:03:19,12099.5,K12+099.5,1082,7点,data/images/I001_000200.jpg
I001_000201,I001,201,2026-06-01 10:03:20,12100.0,K12+100.0,1083,8点,data/images/I001_000201.jpg
I002_000001,I002,1,2026-07-01 10:00:00,12000.0,K12+000.0,1000,12点,data/images/I002_000001.jpg
I002_000002,I002,2,2026-07-01 10:00:01,12000.5,K12+000.5,1000,1点,data/images/I002_000002.jpg
I002_000003,I002,3,2026-07-01 10:00:02,12001.0,K12+001.0,1000,2点,data/images/I002_000003.jpg
I002_000004,I002,4,2026-07-01 10:00:03,12001.5,K12+001.5,1001,3点,data/images/I002_000004.jpg
I002_000005,I002,5,2026-07-01 10:00:04,12002.0,K12+002.0,1001,4点,data/images/I002_000005.jpg
I002_000006,I002,6,2026-07-01 10:00:05,12002.5,K12+002.5,1002,5点,data/images/I002_000006.jpg
I002_000007,I002,7,2026-07-01 10:00:06,12003.0,K12+003.0,1002,6点,data/images/I002_000007.jpg
I002_000008,I002,8,2026-07-01 10:00:07,12003.5,K12+003.5,1002,7点,data/images/I002_000008.jpg
I002_000009,I002,9,2026-07-01 10:00:08,12004.0,K12+004.0,1003,8点,data/images/I002_000009.jpg
I002_000010,I002,10,2026-07-01 10:00:09,12004.5,K12+004.5,1003,9点,data/images/I002_000010.jpg
I002_000011,I002,11,2026-07-01 10:00:10,12005.0,K12+005.0,1004,10点,data/images/I002_000011.jpg
I002_000012,I002,12,2026-07-01 10:00:11,12005.5,K12+005.5,1004,11点,data/images/I002_000012.jpg
I002_000013,I002,13,2026-07-01 10:00:12,12006.0,K12+006.0,1005,12点,data/images/I002_000013.jpg
I002_000014,I002,14,2026-07-01 10:00:13,12006.5,K12+006.5,1005,1点,data/images/I002_000014.jpg
I002_000015,I002,15,2026-07-01 10:00:14,12007.0,K12+007.0,1005,2点,data/images/I002_000015.jpg
I002_000016,I002,16,2026-07-01 10:00:15,12007.5,K12+007.5,1006,3点,data/images/I002_000016.jpg
I002_000017,I002,17,2026-07-01 10:00:16,12008.0,K12+008.0,1006,4点,data/images/I002_000017.jpg
I002_000018,I002,18,2026-07-01 10:00:17,12008.5,K12+008.5,1007,5点,data/images/I002_000018.jpg
I002_000019,I002,19,2026-07-01 10:00:18,12009.0,K12+009.0,1007,6点,data/images/I002_000019.jpg
I002_000020,I002,20,2026-07-01 10:00:19,12009.5,K12+009.5,1007,7点,data/images/I002_000020.jpg
I002_000021,I002,21,2026-07-01 10:00:20,12010.0,K12+010.0,1008,8点,data/images/I002_000021.jpg
I002_000022,I002,22,2026-07-01 10:00:21,12010.5,K12+010.5,1008,9点,data/images/I002_000022.jpg
I002_000023,I002,23,2026-07-01 10:00:22,12011.0,K12+011.0,1009,10点,data/images/I002_000023.jpg
I002_000024,I002,24,2026-07-01 10:00:23,12011.5,K12+011.5,1009,11点,data/images/I002_000024.jpg
I002_000025,I002,25,2026-07-01 10:00:24,12012.0,K12+012.0,1010,12点,data/images/I002_000025.jpg
I002_000026,I002,26,2026-07-01 10:00:25,12012.5,K12+012.5,1010,1点,data/images/I002_000026.jpg
I002_000027,I002,27,2026-07-01 10:00:26,12013.0,K12+013.0,1010,2点,data/images/I002_000027.jpg
I002_000028,I002,28,2026-07-01 10:00:27,12013.5,K12+013.5,1011,3点,data/images/I002_000028.jpg
I002_000029,I002,29,2026-07-01 10:00:28,12014.0,K12+014.0,1011,4点,data/images/I002_000029.jpg
I002_000030,I002,30,2026-07-01 10:00:29,12014.5,K12+014.5,1012,5点,data/images/I002_000030.jpg
I002_000031,I002,31,2026-07-01 10:00:30,12015.0,K12+015.0,1012,6点,data/images/I002_000031.jpg
I002_000032,I002,32,2026-07-01 10:00:31,12015.5,K12+015.5,1012,7点,data/images/I002_000032.jpg
I002_000033,I002,33,2026-07-01 10:00:32,12016.0,K12+016.0,1013,8点,data/images/I002_000033.jpg
I002_000034,I002,34,2026-07-01 10:00:33,12016.5,K12+016.5,1013,9点,data/images/I002_000034.jpg
I002_000035,I002,35,2026-07-01 10:00:34,12017.0,K12+017.0,1014,10点,data/images/I002_000035.jpg
I002_000036,I002,36,2026-07-01 10:00:35,12017.5,K12+017.5,1014,11点,data/images/I002_000036.jpg
I002_000037,I002,37,2026-07-01 10:00:36,12018.0,K12+018.0,1015,12点,data/images/I002_000037.jpg
I002_000038,I002,38,2026-07-01 10:00:37,12018.5,K12+018.5,1015,1点,data/images/I002_000038.jpg
I002_000039,I002,39,2026-07-01 10:00:38,12019.0,K12+019.0,1015,2点,data/images/I002_000039.jpg
I002_000040,I002,40,2026-07-01 10:00:39,12019.5,K12+019.5,1016,3点,data/images/I002_000040.jpg
I002_000041,I002,41,2026-07-01 10:00:40,12020.0,K12+020.0,1016,4点,data/images/I002_000041.jpg
I002_000042,I002,42,2026-07-01 10:00:41,12020.5,K12+020.5,1017,5点,data/images/I002_000042.jpg
I002_000043,I002,43,2026-07-01 10:00:42,12021.0,K12+021.0,1017,6点,data/images/I002_000043.jpg
I002_000044,I002,44,2026-07-01 10:00:43,12021.5,K12+021.5,1017,7点,data/images/I002_000044.jpg
I002_000045,I002,45,2026-07-01 10:00:44,12022.0,K12+022.0,1018,8点,data/images/I002_000045.jpg
I002_000046,I002,46,2026-07-01 10:00:45,12022.5,K12+022.5,1018,9点,data/images/I002_000046.jpg
I002_000047,I002,47,2026-07-01 10:00:46,12023.0,K12+023.0,1019,10点,data/images/I002_000047.jpg
